id,created_at,screen_name,mention
582965368022540288,Tue Mar 31 17:59:09 +0000 2015,Kathegis,WipeHomophobia
582965368022540288,Tue Mar 31 17:59:09 +0000 2015,Kathegis,WipeTransphobia
582965365451448323,Tue Mar 31 17:59:08 +0000 2015,hxndrxdth,pastellesbian
582965355141861376,Tue Mar 31 17:59:06 +0000 2015,courfeyracc,philcouIson
582965348015685632,Tue Mar 31 17:59:04 +0000 2015,BeanSiCiuin,flusteredlouiam
582965347168477184,Tue Mar 31 17:59:04 +0000 2015,wvrlyearps,philcouIson
582965342638632961,Tue Mar 31 17:59:03 +0000 2015,lgbtdowoon,snoozyloser
582965342223372290,Tue Mar 31 17:59:03 +0000 2015,MissCamMichelle,tyleroakley
582965338968571904,Tue Mar 31 17:59:02 +0000 2015,RoselleMahone,mitchgrassi
582965338708533248,Tue Mar 31 17:59:02 +0000 2015,Buttcheekslol,PoCBeauty
582965338607894528,Tue Mar 31 17:59:02 +0000 2015,Behr_Attack,botanicaI
582965338054270976,Tue Mar 31 17:59:02 +0000 2015,HeklaEinarsdtti,mitchgrassi
582965335994818560,Tue Mar 31 17:59:01 +0000 2015,sapphy123456,feministculture
582965329460137984,Tue Mar 31 17:59:00 +0000 2015,CandyZombie_,supricky06
582965324439560192,Tue Mar 31 17:58:58 +0000 2015,seungkwanssmile,megturney
582965324280119296,Tue Mar 31 17:58:58 +0000 2015,BUKOJUlCE,creampuffandy
582965324280119296,Tue Mar 31 17:58:58 +0000 2015,BUKOJUlCE,STRAlGHTPERSON
582965323239952384,Tue Mar 31 17:58:58 +0000 2015,intowildplaces,grimalkinrn
582965317871247360,Tue Mar 31 17:58:57 +0000 2015,literalgoddess,mitchgrassi
582965309247741954,Tue Mar 31 17:58:55 +0000 2015,classysteez,kk0sh
582965307838431232,Tue Mar 31 17:58:55 +0000 2015,lotuseatur,autostraddle
582965307838431232,Tue Mar 31 17:58:55 +0000 2015,lotuseatur,LunchInThePark
582965306563407873,Tue Mar 31 17:58:54 +0000 2015,amateurpunk,megnist
582965305942675457,Tue Mar 31 17:58:54 +0000 2015,BeanSiCiuin,ShayBlez
582965303950340096,Tue Mar 31 17:58:54 +0000 2015,zerinapixie,feministculture
582965303119859712,Tue Mar 31 17:58:53 +0000 2015,MeadowhawkArts,betsythebeaver
